learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
6,11,100,0,25,0,0,0.0327166331579563,85111747.70387982,5508183694.991962,29846382049.045933,1.0,1.0,1.0,5.813850545454546,6.072727272727273e-05,4145853141.295883
6,11,110,0,25,0,0,0.031987628368411895,45662602.43996764,5317318705.370316,30510901924.634792,1.0,1.0,1.0,5.406523454545454,6.172727272727273e-05,4146517730.997202
6,11,120,0,25,0,0,0.027463156070717996,71936776.20106627,5606089914.224823,35363441504.1152,1.0,1.0,1.0,3.242169636363636,5.809090909090909e-05,4707917861.655651
6,12,10,63,25,48,1959,0.029588931282063274,645162892.1348861,57694222446.933105,360042182902.9854,1.0,1.0,1.0,44.922354583333345,0.0001895,47994676610.01264
6,12,20,57,25,46,1922,0.02996041043086325,317383177.0538984,26391753922.59882,173672017912.9994,1.0,1.0,1.0,23.068254250000006,6.991666666666667e-05,22867720699.563633
6,12,30,47,25,30,1276,0.032358081053968556,243194790.4923577,16175834600.648315,96228107936.894,1.0,1.0,1.0,17.456979,0.00010791666666666666,13028213991.098244
6,12,40,98,25,43,1831,0.028467520852181377,164098332.17390573,14871315331.388052,87756815121.60918,1.0,1.0,1.0,10.566030583333335,5.7749999999999994e-05,11864813364.526085
6,12,50,62,25,40,1628,0.02918543754919688,110459223.14281209,11626314667.30332,66308603103.37903,1.0,1.0,1.0,8.693219416666667,6.0916666666666645e-05,9033444661.61743
6,12,60,46,25,23,1103,0.029554484116428498,140045151.4289154,9708737622.616524,55931318803.96406,1.0,1.0,1.0,8.162651916666668,0.00013,7632910974.819989
6,12,70,31,25,24,1211,0.0339511790548322,80399119.73750752,5683644438.5609,42300313766.949196,1.0,1.0,1.0,9.09626,6.850000000000001e-05,5423039608.109143
6,12,80,0,25,34,1688,0.027981442820698314,163407432.13677195,8543576204.505954,47154130109.76469,1.0,1.0,1.0,5.170940999999999,0.0003904166666666667,6538513431.136676
6,12,90,0,25,0,0,0.03331273523769102,152033816.31337532,6911987604.369735,39104254743.18942,1.0,1.0,1.0,6.633361833333333,0.00013349999999999997,5399246637.0882225
6,12,100,0,25,0,0,0.03298392736085288,46755261.3109785,4878819133.204253,28665083492.36226,1.0,1.0,1.0,5.918493416666667,0.00010649999999999999,3875000832.344782
6,12,110,0,25,0,0,0.03336224150111077,42229085.010071,4877426756.037008,30687262581.322247,1.0,1.0,1.0,5.608760166666666,5.916666666666667e-05,4073771943.7287536
6,12,120,0,25,0,0,0.03133079130478414,62868731.841180585,5179976117.577475,33468415627.962017,1.0,1.0,1.0,4.347474500000001,8.258333333333333e-05,4426844878.906026
6,13,10,66,25,46,1661,0.032107053451366364,595132352.6454012,46588710622.26828,299748534107.10315,1.0,1.0,1.0,52.06685469230768,6.476923076923075e-05,39709187957.128006
6,13,20,49,25,39,1387,0.03483451544878903,241556456.7210037,20485507201.530624,127594104495.03326,1.0,1.0,1.0,30.555994076923078,7.199999999999999e-05,17025601277.12307
6,13,30,63,25,41,1560,0.034102191687827785,195751212.65034297,14738345870.024445,86564892859.77765,1.0,1.0,1.0,20.033151846153846,6.6e-05,11741184221.695059
6,13,40,63,25,34,1680,0.03227922470184721,155960190.5050503,12190748260.252113,72702676426.69815,1.0,1.0,1.0,13.222283076923077,5.907692307692308e-05,9817589370.217705
6,13,50,38,25,27,1546,0.033215256057557124,163511479.8807199,10797614739.947498,58852663930.88982,1.0,1.0,1.0,11.200536153846153,7.176923076923076e-05,8159247327.832372
6,13,60,0,25,0,0,0.03445877828246193,72761863.20863317,9434034799.071224,51055970630.8304,1.0,1.0,1.0,10.333223,0.00010661538461538462,7043337281.710012
6,13,70,0,25,0,0,0.0306544198799523,155703117.53445223,7755148767.539415,48791714276.56933,1.0,1.0,1.0,7.236352076923078,0.0001906923076923077,6539193331.321798
6,13,80,47,25,0,0,0.03467795998292428,102327323.06205532,5613888385.322481,36405103040.67011,1.0,1.0,1.0,7.981202,5.523076923076923e-05,4834917071.95554
6,13,90,0,25,0,0,0.03331786521658763,72625051.55460331,4662679308.277384,34418146369.64579,1.0,1.0,1.0,6.440276307692307,8.753846153846153e-05,4425188006.014715
6,13,100,0,25,0,0,0.034553358859374245,94300810.48810984,6393020474.345185,34056802778.66368,1.0,1.0,1.0,5.442892230769232,5.915384615384615e-05,4750294915.672392
6,13,110,0,25,0,0,0.03149842089877715,54080776.55894515,4930542720.648124,31436850627.304096,1.0,1.0,1.0,5.045839538461539,6.107692307692307e-05,4167650127.7539234
6,13,120,0,23,0,0,0.03347130743984025,66356520.73834646,4466274216.861639,28632991828.212826,1.0,1.0,1.0,5.203123923076924,7.13846153846154e-05,3803003567.336714
6,14,10,62,25,51,2103,0.033787683724889155,590177180.0654236,48606850622.87827,308695891693.11084,1.0,1.0,1.0,56.53342771428571,0.00021014285714285712,41004083075.83789
6,14,20,73,25,46,1683,0.033627415399630566,287543344.24616647,22518648126.473946,141858119954.92618,1.0,1.0,1.0,28.68568742857143,0.0001865714285714286,18890821837.410465
6,14,30,70,25,42,1670,0.03344309646825933,207556668.06306013,16519561600.599274,102938003456.06493,1.0,1.0,1.0,18.6885165,7.442857142857143e-05,13743002252.009552
6,14,40,54,25,45,2180,0.03320655355977888,123190165.73295093,11311207309.924906,71828464805.6616,1.0,1.0,1.0,13.751389357142859,0.00018342857142857142,9531320998.432447
6,14,50,29,25,22,1461,0.03780056189746298,95827547.36848557,9367832439.303314,52601470800.44224,1.0,1.0,1.0,13.319038571428573,0.00011342857142857142,7200792792.790472
6,14,60,49,25,22,771,0.03549283098057345,63511294.78709649,7524169684.438914,44053644104.32099,1.0,1.0,1.0,10.492404714285714,5.828571428571427e-05,5954656207.553259
6,14,70,29,25,25,1487,0.03546423210956557,126016452.68844977,6435635057.293655,44961292826.14858,1.0,1.0,1.0,9.359593142857145,0.00012135714285714286,5871467769.708734
6,14,80,0,25,0,0,0.03255320710714702,103457903.47650786,6820573029.667173,38723209041.90793,1.0,1.0,1.0,6.773469071428573,5.92142857142857e-05,5308856012.431611
6,14,90,0,25,0,0,0.03635842125789224,108594816.49722321,6001719282.46066,37105183064.22728,1.0,1.0,1.0,7.238639357142857,5.9642857142857135e-05,4986878502.336511
