num_pods,num_clients,session_duration_s,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,n_sw_z1,n_sw_z2,n_sw_z3,total_stall,start_time,q_res_z1,q_res_z2,q_res_z3,q_sw_z1,q_sw_z2,q_sw_z3,q_stall,QoE
3,7,70,78,45,53,2133,0,157083019.58570972,20909140523.2685,126551682494.52612,1.0,1.0,1.0,26.971949857142857,6.071428571428572e-05,5.0,4.925872267244588,4.925872267244588,0.022260580407030262,0.022260580407030262,0.022260580407030262,0.38531356938775513,3.298391679970428
3,7,80,77,45,51,2340,0,227009715.14343643,25730170549.281864,159459197198.36533,1.0,1.0,1.0,31.074166285714284,5.6999999999999996e-05,5.0,4.9339315796332155,4.9339315796332155,0.019840366476511766,0.019840366476511766,0.019840366476511766,0.38842707857142855,3.2898575695563097
3,7,90,73,45,51,2203,0,219746018.72829288,28278817256.61327,170765095584.69443,1.0,1.0,1.0,36.590806,8.157142857142856e-05,5.0,4.939917038728349,4.939917038728348,0.01804293131280813,0.01804293131280813,0.01804293131280813,0.40656451111111114,3.2153540253850617
3,8,30,54,45,49,2058,0,88025563.85607627,7975085246.805032,46818076594.98099,1.0,1.0,1.0,14.238629374999999,7.1625e-05,5.0,4.815500393907564,4.815500393907564,0.055405287114845936,0.055405287114845936,0.055405287114845936,0.4746209791666667,2.848066633140756
3,8,40,78,45,47,2181,0,71855340.3087835,10121521776.549389,59197502266.73449,1.0,1.0,1.0,18.597913749999996,0.00025875,5.0,4.851933314951376,4.851933314951376,0.04446446998457177,0.04446446998457177,0.04446446998457177,0.46494784375000003,2.9107271713758407
3,8,50,78,45,57,2400,0,107914158.6720275,11681769909.293125,76869687066.74991,1.0,1.0,1.0,23.965681125000003,7.512500000000001e-05,5.0,4.882670322845489,4.88267032284549,0.035234137283636724,0.035234137283636724,0.035234137283636724,0.47931362250000004,2.8681953453200095
3,8,60,68,45,49,1885,0,101786670.91980463,13190445909.883177,85924557280.17427,1.0,1.0,1.0,29.089065875,5.5875e-05,5.0,4.8999927962662335,4.899992796266234,0.03003219331344331,0.03003219331344331,0.03003219331344331,0.4848177645833333,2.8550089953580935
3,8,70,82,45,50,2004,0,141773078.18610635,18268772210.979553,112904453758.97807,1.0,1.0,1.0,30.841704125,6.275e-05,5.0,4.9184143496688435,4.9184143496688435,0.024500195294641442,0.024500195294641442,0.024500195294641442,0.4405957732142857,3.0561924597845835
3,8,80,80,45,50,2164,0,144117465.203964,19310507466.678337,129638574152.92368,1.0,1.0,1.0,38.271504375,8.225e-05,5.0,4.9230016925876665,4.9230016925876665,0.023122614838538558,0.023122614838538558,0.023122614838538558,0.4783938046875,2.8963308577815114
3,8,90,83,45,54,1969,0,165161165.90881574,21906780852.072037,136002623065.22035,1.0,1.0,1.0,38.90164225,5.9749999999999995e-05,5.0,4.9368445509557635,4.936844550955763,0.018965600313584637,0.018965600313584637,0.018965600313584637,0.43224046944444444,3.103196821362033
3,9,30,84,45,31,1134,0,47220544.40817411,5106682578.349639,38525509438.403465,1.0,1.0,1.0,15.535340222222223,5.477777777777777e-05,5.0,4.792335022605533,4.792335022605533,0.06236185507341338,0.06236185507341338,0.06236185507341338,0.5178446740740741,2.648371008745284
3,9,40,86,45,55,2621,0,103787938.317715,9748547472.204386,54543078748.07676,1.0,1.0,1.0,20.58967144444445,0.00015977777777777778,5.0,4.84493934200213,4.84493934200213,0.046564762161522597,0.046564762161522597,0.046564762161522597,0.5147417861111111,2.6928403157168948
3,9,50,81,45,52,2137,0,108306886.30172545,12003648109.348186,67025431074.35217,1.0,1.0,1.0,27.11358988888889,6.322222222222222e-05,5.0,4.869234126099343,4.869234126099343,0.039269031201398345,0.039269031201398345,0.039269031201398345,0.5422717977777778,2.5894606206284045
3,9,60,80,45,58,2278,0,68674944.66677567,13675473168.172281,85735859228.84848,1.0,1.0,1.0,28.730621222222226,6.144444444444444e-05,5.0,4.898208092903301,4.898208092903301,0.030568140269278787,0.030568140269278787,0.030568140269278787,0.4788436870370371,2.8796022222313415
3,9,70,77,45,49,1935,0,119944616.82743245,13297829443.450832,89106153902.49864,1.0,1.0,1.0,37.106553222222225,6.31111111111111e-05,5.0,4.904185023471204,4.904185023471204,0.028773266224863696,0.028773266224863696,0.028773266224863696,0.5300936174603175,2.6628083079593545
3,9,80,81,45,50,1941,0,129196962.51956391,17874316035.141014,108487529734.65144,1.0,1.0,1.0,40.18440255555556,5.955555555555556e-05,5.0,4.919906123911081,4.919906123911081,0.024052215041717454,0.024052215041717454,0.024052215041717454,0.5023050319444444,2.7917518958816063
3,9,90,75,45,55,2268,0,162361123.39526933,19771429757.9072,125261347560.41487,1.0,1.0,1.0,47.34768155555556,5.777777777777778e-05,5.0,4.925775230890792,4.925775230890792,0.022289720453215624,0.022289720453215624,0.022289720453215624,0.5260853506172839,2.6930273967152565
3,10,30,83,45,38,1827,0,58118515.25301,5984318591.716953,36145905264.764725,1.0,1.0,1.0,18.009994,0.00021360000000000004,5.0,4.765806682288299,4.765806682288299,0.07032832363714717,0.07032832363714717,0.07032832363714717,0.6003331333333334,2.27706272771601
3,10,40,75,45,52,2633,0,66694101.867825106,8120158318.884944,44434162230.7466,1.0,1.0,1.0,22.9783855,5.97e-05,5.0,4.825412414559125,4.825412414559125,0.052428704336599075,0.052428704336599075,0.052428704336599075,0.5744596375,2.4247618687811383
3,10,50,85,45,59,2386,0,96498436.5974004,10497492734.488316,59772171113.44517,1.0,1.0,1.0,27.978921300000003,6.139999999999999e-05,5.0,4.860949028794794,4.860949028794794,0.04175704840997195,0.04175704840997195,0.04175704840997195,0.5595784260000001,2.510076408428466
3,10,60,80,45,55,2393,0,108697364.0452342,11902530178.19372,68466511462.66811,1.0,1.0,1.0,35.784874,5.659999999999999e-05,5.0,4.8763422639373974,4.8763422639373974,0.03713445527405483,0.03713445527405483,0.03713445527405483,0.5964145666666666,2.3609422072404973
3,10,70,72,45,52,1943,0,123273028.3969495,13552997103.974361,79883497884.02924,1.0,1.0,1.0,38.955943000000005,0.0002227,5.0,4.8978318048630936,4.8978318048630936,0.03068113968075269,0.03068113968075269,0.03068113968075269,0.5565134714285714,2.544702864635318
3,10,80,77,45,48,2008,0,124481058.4858727,15287881290.2273,87299191954.8721,1.0,1.0,1.0,47.463180699999995,5.7600000000000004e-05,5.0,4.905365471988687,4.905365471988687,0.02841877718057435,0.02841877718057435,0.02841877718057435,0.5932897587499999,2.391797221791032
3,10,90,77,45,51,2148,0,155341669.5278489,17313501751.7956,107760361350.25847,1.0,1.0,1.0,51.546817499999996,8.89e-05,5.0,4.9171377173899575,4.917137717389959,0.024883568351363815,0.024883568351363815,0.024883568351363815,0.5727424166666666,2.487083085198957
3,11,30,65,45,54,3056,0,34339107.13359291,5093851914.652754,29581004007.543762,1.0,1.0,1.0,19.624211545454543,0.00023281818181818185,5.0,4.737683283962028,4.737683283962028,0.07877378859999179,0.07877378859999179,0.07877378859999179,0.6541403848484849,2.028726423558314
3,11,40,80,45,48,2590,0,49465493.63432145,5964449617.1535635,36801441756.28845,1.0,1.0,1.0,26.83716290909091,6.49090909090909e-05,5.0,4.7879036049090224,4.7879036049090224,0.06369261113843155,0.06369261113843155,0.06369261113843155,0.6709290727272726,1.9874043485160937
3,11,50,79,45,52,2443,0,92789969.86672954,9341992728.828411,50804381191.11553,1.0,1.0,1.0,31.179509272727273,6.645454545454545e-05,5.0,4.842039951747857,4.842039951747857,0.047435449925568494,0.047435449925568494,0.047435449925568494,0.6235901854545455,2.223452983598788
3,11,60,83,45,50,1997,0,94339243.88409156,10603101040.196907,59220925491.7144,1.0,1.0,1.0,35.741650363636374,5.918181818181817e-05,5.0,4.871625357658896,4.871625357658896,0.038550943645976776,0.038550943645976776,0.038550943645976776,0.5956941727272725,2.3611972391062377
3,11,70,82,45,55,2085,0,78874115.7663201,12214097397.218529,69916958545.12585,1.0,1.0,1.0,41.85285109090909,5.3909090909090905e-05,5.0,4.890878482398154,4.890878482398154,0.03276922450505844,0.03276922450505844,0.03276922450505844,0.5978978727272728,2.3633016583962063
3,11,80,80,45,51,1916,0,106863558.61041099,11994731865.051485,75630269989.73238,1.0,1.0,1.0,48.83965236363636,0.00024181818181818183,5.0,4.898679726462009,4.898679726462009,0.030426508569967134,0.030426508569967134,0.030426508569967134,0.6104956545454545,2.313006276641363
3,11,90,86,45,56,2259,0,138613266.0867645,16192742390.88355,105627498085.7018,1.0,1.0,1.0,51.8516780909091,6.0454545454545444e-05,5.0,4.917284928781377,4.9172849287813785,0.02483936072631335,0.02483936072631335,0.02483936072631335,0.5761297565656567,2.4727282101303216
3,12,30,54,45,62,3330,0,51166397.44580942,4578048744.695412,35602793699.56454,1.0,1.0,1.0,18.814072499999998,5.8416666666666666e-05,5.0,4.756323489010988,4.756323489010988,0.07317612942612942,0.07317612942612942,0.07317612942612942,0.62713575,2.156786000610501
3,12,40,86,45,50,2333,0,41575754.12466767,5766644978.400807,36151235462.067924,1.0,1.0,1.0,26.747857250000006,0.00013341666666666667,5.0,4.78437037701076,4.78437037701076,0.06475364053730925,0.06475364053730925,0.06475364053730925,0.66869643125,1.9945891265242526
3,12,50,68,45,53,2144,0,50613617.74803901,6900824788.279408,41237010357.35331,1.0,1.0,1.0,33.321029249999995,0.0002081666666666667,5.0,4.824874793099059,4.824874793099059,0.05259015222250516,0.05259015222250516,0.05259015222250516,0.666420585,2.028368653540546
3,12,60,67,45,52,1910,0,98020620.0314324,9179917025.312944,56931581815.475136,1.0,1.0,1.0,38.683316999999995,0.00011841666666666667,5.0,4.862318314354728,4.862318314354728,0.041345851545126905,0.041345851545126905,0.041345851545126905,0.64472195,2.144536066094625
3,12,70,80,45,53,2278,0,89839390.43166168,11282780311.225496,64158297106.71844,1.0,1.0,1.0,45.92760341666666,6.066666666666666e-05,5.0,4.877085589049233,4.877085589049234,0.036911234519749696,0.036911234519749696,0.036911234519749696,0.6561086202380951,2.1046865085045443
3,12,80,80,45,54,2384,0,95413185.13234957,13349187284.330816,82579619730.5856,1.0,1.0,1.0,50.17423975,5.641666666666667e-05,5.0,4.896570898893847,4.896570898893848,0.031059790121967624,0.031059790121967624,0.031059790121967624,0.6271779968750001,2.24080350131702
3,12,90,85,45,56,2147,0,96350154.90239193,14144066701.729303,86434822162.10994,1.0,1.0,1.0,54.71940600000001,0.00019366666666666675,5.0,4.911116432579557,4.911116432579557,0.026691761988121388,0.026691761988121388,0.026691761988121388,0.6079933999999999,2.3314387811190787
3,13,30,60,45,65,3329,0,48231938.13694915,4344676177.712315,27593712667.670986,1.0,1.0,1.0,20.863601076923075,5.584615384615386e-05,5.0,4.711627180511796,4.711627180511796,0.08659844429075199,0.08659844429075199,0.08659844429075199,0.6954533692307693,1.836200083708941
3,13,40,83,45,55,2764,0,38314492.828948155,4766181021.929417,36900283888.32823,1.0,1.0,1.0,27.060828230769232,6.223076923076922e-05,5.0,4.77059246522708,4.77059246522708,0.06889115158345928,0.06889115158345928,0.06889115158345928,0.6765207057692307,1.9529799608692804
3,13,50,84,45,57,2675,0,63871347.93172677,7478953482.2825575,40637502525.51488,1.0,1.0,1.0,33.18308284615385,0.00018884615384615386,5.0,4.825770262245495,4.825770262245495,0.05232124256892058,0.05232124256892058,0.05232124256892058,0.6636616569230769,2.0408526728739584
3,13,60,80,45,54,2515,0,104147630.5956473,7901776818.471613,46996080995.45227,1.0,1.0,1.0,41.52422823076923,6.753846153846155e-05,5.0,4.83972061659275,4.83972061659275,0.04813194696914423,0.04813194696914423,0.04813194696914423,0.6920704705128204,1.9275907994189372
3,13,70,86,45,55,2362,0,108442710.85868853,10692808816.964691,64349548128.22829,1.0,1.0,1.0,45.758659384615385,6.292307692307691e-05,5.0,4.874408180144489,4.87440818014449,0.03771526121787096,0.03771526121787096,0.03771526121787096,0.6536951340659342,2.11344754711119
3,13,80,83,45,50,2008,0,72170467.55746862,10711297094.856564,62397541555.8476,1.0,1.0,1.0,54.275643461538465,0.00018876923076923077,5.0,4.881588236433489,4.88158823643349,0.03555908815811122,0.03555908815811122,0.03555908815811122,0.6784455432692307,2.0107898390219354
3,13,90,76,45,53,2164,0,107382216.54976593,12580878451.4665,70712041858.08571,1.0,1.0,1.0,60.644609153846154,6.207692307692306e-05,5.0,4.895386749084156,4.895386749084158,0.031415390665418354,0.031415390665418354,0.031415390665418354,0.6738289905982906,2.039469043717949
3,14,30,79,45,38,1504,0,36539556.63455657,4005539982.4858856,24894843251.262688,1.0,1.0,1.0,21.400034214285714,9.107142857142857e-05,5.0,4.698145318966747,4.6981453189667475,0.09064705136133708,0.09064705136133708,0.09064705136133708,0.7133344738095239,1.7510666998048783
3,14,40,89,45,54,2929,0,39796461.81783807,4801986981.786215,31770455585.61326,1.0,1.0,1.0,28.444479357142853,0.000122,5.0,4.765841276895373,4.765841276895373,0.07031793486625418,0.07031793486625418,0.07031793486625418,0.7111119839285714,1.801128317309501
3,14,50,85,45,55,2742,0,52449997.03812551,6384297977.638075,40690590236.0307,1.0,1.0,1.0,34.02960457142857,6.321428571428572e-05,5.0,4.81853367731532,4.81853367731532,0.0544943911966007,0.0544943911966007,0.0544943911966007,0.6805920914285715,1.964247897426567
3,14,60,72,45,58,2518,0,68651339.48387294,7667029969.823135,46257100833.53627,1.0,1.0,1.0,41.45467964285715,7.035714285714284e-05,5.0,4.839356678921189,4.839356678921189,0.04824123756120468,0.04824123756120468,0.04824123756120468,0.6909113273809524,1.932344522662771
